Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Original Air Date,Industry,Business Description,Pitchers Gender,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present,Guest Present,Has_Website,Barbara Corcoran Got Deal,Mark Cuban Got Deal,Lori Greiner Got Deal,Robert Herjavec Got Deal,Daymond John Got Deal,Kevin O Leary Got Deal
1,AvaTheElephant,1,1,2009-08-09,2009-08-09,Health/Wellness,Ava The Elephant - Baby and Child Care,Female,4.15,50000,15.0,333333,1,50000.0,55.0,90909.0,1.0,50000.0,55.0,0.0,50000.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0
1,Mr.Tod'sPieFactory,1,2,2009-08-09,2009-08-09,Food and Beverage,Mr. Tod's Pie Factory - Specialty Food,Male,4.15,460000,10.0,4600000,1,460000.0,50.0,920000.0,2.0,230000.0,25.0,0.0,230000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,230000.0,25.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,1,0
1,Wispots,1,3,2009-08-09,2009-08-09,Business Services,Wispots - Consumer Services,Male,4.15,1200000,10.0,12000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0
1,CollegeFoxesPackingBoxes,1,4,2009-08-09,2009-08-09,Lifestyle/Home,College Foxes Packing Boxes - Consumer Services,Male,4.15,250000,25.0,1000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0
1,IonicEar,1,5,2009-08-09,2009-08-09,Software/Tech,Ionic Ear - Novelties,Male,4.15,1000000,15.0,6666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0
1,APerfectPear,2,6,2009-08-09,2009-08-16,Food and Beverage,A Perfect Pear - Specialty Food,Female,5.59,500000,15.0,3333333,1,500000.0,50.0,1000000.0,2.0,250000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,25.0,0.0,0.0,250000.0,25.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,1
1,ClassroomJams,2,7,2009-08-09,2009-08-16,Children/Education,Classroom Jams - Education,Male,5.59,250000,10.0,2500000,1,250000.0,100.0,250000.0,5.0,50000.0,20.0,1.0,50000.0,20.0,0.0,0.0,0.0,0.0,50000.0,20.0,50000.0,20.0,50000.0,20.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,1,1
1,Lifebelt,2,8,2009-08-09,2009-08-16,Automotive,Lifebelt - Automotive,Male,5.59,500000,10.0,5000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0
1,CrookedJaw,2,9,2009-08-09,2009-08-16,Fashion/Beauty,Crooked Jaw - Men and Women's Apparel,Male,5.59,200000,20.0,1000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0
1,StickyNoteHolder,2,10,2009-08-09,2009-08-16,Lifestyle/Home,Sticky Note Holder - Productivity Tools,Female,5.59,100000,20.0,500000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0
